"","spot_class","first_type","second_type","first_class","second_class","min_score","singlet_score","conv_all","conv_doublet"
"spot0.0","singlet","PT","VSM",FALSE,FALSE,355.468497838354,374.506899252862,TRUE,TRUE
"spot0.1","singlet","PT","TAL",FALSE,FALSE,407.343391086398,420.445560463249,TRUE,TRUE
"spot0.10","singlet","PT","ENDO",FALSE,FALSE,388.364765888979,397.979789680517,TRUE,TRUE
"spot0.11","singlet","IMMUNE","PT",FALSE,FALSE,390.415718431985,410.801019773058,TRUE,TRUE
"spot0.12","singlet","IMMUNE","TAL",FALSE,FALSE,368.584475731268,374.715857306935,TRUE,TRUE
"spot0.13","singlet","CCD","VSM",FALSE,FALSE,373.323867498197,377.30785139643,TRUE,TRUE
"spot0.14","singlet","DCT","ENDO",FALSE,FALSE,330.155721343997,330.982253152828,TRUE,TRUE
"spot0.15","singlet","PT","DCT",FALSE,FALSE,390.345558473924,394.273442522279,TRUE,TRUE
"spot0.16","singlet","PT","DCT",FALSE,FALSE,419.630029719361,424.078155710738,TRUE,TRUE
"spot0.17","doublet_certain","TAL","PT",FALSE,FALSE,342.331988296338,386.797628552606,TRUE,TRUE
"spot0.18","doublet_certain","TAL","VSM",FALSE,FALSE,314.997883520049,341.05303199789,TRUE,TRUE
"spot0.19","singlet","VSM","PODS",FALSE,FALSE,214.749835610679,215.953343800816,TRUE,TRUE
"spot0.2","singlet","PT","TAL",FALSE,FALSE,394.383231515797,407.485700417279,TRUE,TRUE
"spot0.20","doublet_certain","PODS","VSM",FALSE,FALSE,314.369949015864,347.275020614001,TRUE,TRUE
"spot0.21","singlet","PT","CCD",FALSE,FALSE,432.087182934695,451.193482674707,TRUE,TRUE
"spot0.22","doublet_certain","PT","CCD",FALSE,FALSE,408.469141415905,442.162553452894,TRUE,TRUE
"spot0.23","singlet","PT","CCD",FALSE,FALSE,406.879671213938,417.364578904254,TRUE,TRUE
"spot0.24","singlet","PT","ENDO",FALSE,FALSE,400.577691619996,401.14021109817,TRUE,TRUE
"spot0.3","singlet","PT","DCT",FALSE,FALSE,408.298565067484,425.89235233352,TRUE,TRUE
"spot0.4","singlet","PT","CCD",FALSE,FALSE,393.604212686074,418.125692038142,TRUE,TRUE
"spot0.5","singlet","DCT","PT",FALSE,FALSE,383.838695152154,407.551425891487,TRUE,TRUE
"spot0.6","singlet","PT","TAL",FALSE,FALSE,401.374481830509,410.869076031539,TRUE,TRUE
"spot0.7","singlet","TAL","CCD",FALSE,FALSE,301.980032202447,304.779214168588,TRUE,TRUE
"spot0.8","singlet","TAL","PT",FALSE,FALSE,363.996695605079,387.952432031275,TRUE,TRUE
"spot0.9","singlet","VSM","TAL",FALSE,FALSE,246.373299323228,263.955561811427,TRUE,TRUE
"spot1.0","doublet_certain","VSM","PT",FALSE,FALSE,355.461359724265,381.339496498239,TRUE,TRUE
"spot1.1","doublet_certain","PT","CCD",FALSE,FALSE,408.097837805489,437.090979619915,TRUE,TRUE
"spot1.10","doublet_certain","TAL","PT",FALSE,FALSE,343.994870437993,375.800286238507,TRUE,TRUE
"spot1.11","singlet","TAL","IMMUNE",FALSE,FALSE,319.239594745579,333.290547992954,TRUE,TRUE
"spot1.12","doublet_certain","PT","DCT",FALSE,FALSE,395.06464132375,430.727521619317,TRUE,TRUE
"spot1.13","singlet","DCT","PT",FALSE,FALSE,346.676162414864,355.691883060382,TRUE,TRUE
"spot1.14","doublet_certain","PT","TAL",FALSE,FALSE,384.243442050104,409.548923543302,TRUE,TRUE
"spot1.15","doublet_certain","PT","DCT",FALSE,FALSE,407.312286280445,438.071922130285,TRUE,TRUE
"spot1.16","singlet","PT","VSM",FALSE,FALSE,337.121480001069,359.609549856031,TRUE,TRUE
"spot1.17","singlet","PT","TAL",FALSE,FALSE,368.693844128144,373.836299716685,TRUE,TRUE
"spot1.18","singlet","IMMUNE","PT",FALSE,FALSE,353.144915978669,359.782818129173,TRUE,TRUE
"spot1.19","singlet","TAL","VSM",FALSE,FALSE,293.502505331031,299.604508605618,TRUE,TRUE
"spot1.2","doublet_certain","PT","CCD",FALSE,FALSE,412.335721441513,444.657744443238,TRUE,TRUE
"spot1.20","doublet_uncertain","PODS","TAL",FALSE,FALSE,300.304019516417,325.485204025131,TRUE,TRUE
"spot1.21","doublet_uncertain","PT","PODS",FALSE,FALSE,429.263711818756,466.012990476874,TRUE,TRUE
"spot1.22","singlet","PT","ENDO",FALSE,FALSE,363.263961258944,367.31889283161,TRUE,TRUE
"spot1.23","singlet","CCD","ENDO",FALSE,FALSE,356.421859967712,360.694231842834,TRUE,TRUE
