"","spot_class","first_type","second_type","first_class","second_class","min_score","singlet_score","conv_all","conv_doublet"
"spot0.0","singlet","PT","VSM",FALSE,FALSE,387.709144425054,394.266282239856,TRUE,TRUE
"spot0.1","singlet","PT","VSM",FALSE,FALSE,372.77615060271,373.044821937196,TRUE,TRUE
"spot0.10","doublet_certain","PT","PODS",FALSE,FALSE,392.979935046396,435.228428889409,TRUE,TRUE
"spot0.11","singlet","PT","TAL",FALSE,FALSE,372.112562172155,373.335634837179,TRUE,TRUE
"spot0.12","singlet","PT","VSM",FALSE,FALSE,367.598003598229,368.813373304154,TRUE,TRUE
"spot0.13","singlet","DCT","PT",FALSE,FALSE,358.419348639669,373.66060047546,TRUE,TRUE
"spot0.14","singlet","ENDO","PT",FALSE,FALSE,291.852203170009,303.759656172335,TRUE,TRUE
"spot0.15","doublet_certain","PT","ENDO",FALSE,FALSE,356.653802156273,390.910328935753,TRUE,TRUE
"spot0.16","singlet","TAL","IMMUNE",FALSE,FALSE,288.124865314569,292.376947033234,TRUE,TRUE
"spot0.17","singlet","PT","TAL",FALSE,FALSE,330.271519676714,353.175733929711,TRUE,TRUE
"spot0.18","doublet_certain","PT","VSM",FALSE,FALSE,304.208448323402,333.465691169789,TRUE,TRUE
"spot0.19","singlet","VSM","DCT",FALSE,FALSE,333.028889390631,351.952942586496,TRUE,TRUE
"spot0.2","singlet","PT","DCT",FALSE,FALSE,443.916324570581,451.021567277892,TRUE,TRUE
"spot0.20","reject","IMMUNE","VSM",FALSE,FALSE,319.226228902468,369.226228902468,TRUE,TRUE
"spot0.21","singlet","PT","DCT",FALSE,FALSE,380.508476002817,400.591531366477,TRUE,TRUE
"spot0.22","singlet","PT","TAL",FALSE,FALSE,357.318883485475,371.343521281108,TRUE,TRUE
"spot0.23","singlet","ENDO","TAL",FALSE,FALSE,239.869346271853,251.257024599514,TRUE,TRUE
"spot0.24","singlet","PT","ENDO",FALSE,FALSE,397.380217266697,398.475164214336,TRUE,TRUE
"spot0.3","singlet","DCT","PT",FALSE,FALSE,325.242215120177,327.613993696409,TRUE,TRUE
"spot0.4","singlet","VSM","DCT",FALSE,FALSE,332.660730645395,355.271886005373,TRUE,TRUE
"spot0.5","reject","IMMUNE","VSM",FALSE,FALSE,287.186721015545,337.186721015545,TRUE,TRUE
"spot0.6","reject","CCD","IMMUNE",FALSE,FALSE,342.551786140464,392.551786140464,TRUE,TRUE
"spot0.7","singlet","PT","CCD",FALSE,FALSE,380.166260226781,384.255409597756,TRUE,TRUE
"spot0.8","singlet","PT","ENDO",FALSE,FALSE,393.270314482925,393.391891845045,TRUE,TRUE
"spot0.9","singlet","PT","VSM",FALSE,FALSE,369.266881359216,370.354445134937,TRUE,TRUE
"spot1.0","singlet","PT","VSM",FALSE,FALSE,370.848148724889,374.163356910949,TRUE,TRUE
"spot1.1","singlet","PT","DCT",FALSE,FALSE,372.084439135709,372.892800033547,TRUE,TRUE
"spot1.10","singlet","TAL","PODS",FALSE,FALSE,301.796861133465,314.658529236571,TRUE,TRUE
"spot1.11","singlet","PT","TAL",FALSE,FALSE,408.484144606997,427.369295547829,TRUE,TRUE
"spot1.12","singlet","PT","ENDO",FALSE,FALSE,302.295393702839,315.746239899736,TRUE,TRUE
"spot1.13","singlet","PT","ENDO",FALSE,FALSE,355.265772453083,370.054898364048,TRUE,TRUE
"spot1.14","singlet","PT","TAL",FALSE,FALSE,356.815973137831,367.378515004892,TRUE,TRUE
"spot1.15","doublet_certain","TAL","PT",FALSE,FALSE,350.673247886593,384.870166785896,TRUE,TRUE
"spot1.16","doublet_certain","TAL","PT",FALSE,FALSE,351.410669974796,383.992808946669,TRUE,TRUE
"spot1.17","singlet","PT","DCT",FALSE,FALSE,359.795854254374,373.164884130298,TRUE,TRUE
"spot1.18","singlet","PT","CCD",FALSE,FALSE,348.511876255276,352.58390183578,TRUE,TRUE
"spot1.19","singlet","DCT","ENDO",FALSE,FALSE,277.328492040219,279.163344426523,TRUE,TRUE
"spot1.2","singlet","PT","CCD",FALSE,FALSE,413.598302852959,413.786553001366,TRUE,TRUE
"spot1.20","reject","DCT","IMMUNE",FALSE,FALSE,319.089673226824,369.089673226824,TRUE,TRUE
"spot1.21","singlet","PT","DCT",FALSE,FALSE,404.307685098983,411.794795249842,TRUE,TRUE
"spot1.22","singlet","PT","ENDO",FALSE,FALSE,272.488910869336,292.832037997366,TRUE,TRUE
"spot1.23","doublet_certain","PT","ENDO",FALSE,FALSE,344.943077896775,377.527157586438,TRUE,TRUE
"spot1.24","singlet","PT","TAL",FALSE,FALSE,345.128672021178,357.03321029336,TRUE,TRUE
"spot1.3","singlet","PT","TAL",FALSE,FALSE,319.665068234073,344.276874914167,TRUE,TRUE
"spot1.4","singlet","VSM","DCT",FALSE,FALSE,308.69167603252,326.951976189061,TRUE,TRUE
"spot1.5","singlet","CCD","DCT",FALSE,FALSE,377.539673955405,382.048412861101,TRUE,TRUE
"spot1.6","reject","CCD","DCT",FALSE,FALSE,339.318078529509,389.318078529509,TRUE,TRUE
"spot1.7","doublet_certain","PT","TAL",FALSE,FALSE,378.932887593302,409.767151970957,TRUE,TRUE
"spot1.8","singlet","PT","CCD",FALSE,FALSE,440.93332805216,441.749548811764,TRUE,TRUE
"spot1.9","singlet","PT","PODS",FALSE,FALSE,406.561480922332,407.654757796872,TRUE,TRUE
"spot10.0","reject","DCT","ENDO",FALSE,FALSE,237.167767017715,287.167767017715,TRUE,TRUE
"spot10.1","singlet","PT","IMMUNE",FALSE,FALSE,348.24555996339,361.244314095486,TRUE,TRUE
"spot10.10","singlet","TAL","DCT",FALSE,FALSE,330.150343742533,338.476847503393,TRUE,TRUE
"spot10.11","doublet_uncertain","ENDO","DCT",FALSE,FALSE,273.79952320589,316.621913129321,TRUE,TRUE
"spot10.12","singlet","CCD","TAL",FALSE,FALSE,340.86857183119,352.730098208645,TRUE,TRUE
"spot10.13","singlet","TAL","PT",FALSE,FALSE,350.487425609629,373.124039003055,TRUE,TRUE
"spot10.14","singlet","PT","VSM",FALSE,FALSE,362.098646704091,363.366003245696,TRUE,TRUE
"spot10.15","singlet","PT","VSM",FALSE,FALSE,428.652734851699,431.893716410824,TRUE,TRUE
"spot10.16","singlet","PT","DCT",FALSE,FALSE,385.871231037463,404.543726268494,TRUE,TRUE
"spot10.17","singlet","ENDO","DCT",FALSE,FALSE,247.694900430185,260.687518942601,TRUE,TRUE
"spot10.18","singlet","PT","ENDO",FALSE,FALSE,376.065238339621,390.229255800087,TRUE,TRUE
"spot10.19","singlet","PT","IMMUNE",FALSE,FALSE,357.569865709333,358.98223400035,TRUE,TRUE
"spot10.2","singlet","PT","CCD",FALSE,FALSE,383.551447056962,403.17156161035,TRUE,TRUE
"spot10.20","doublet_certain","PT","IMMUNE",FALSE,FALSE,411.590310882127,437.122442409898,TRUE,TRUE
"spot10.21","doublet_certain","PT","TAL",FALSE,FALSE,324.437473740193,351.0409516765,TRUE,TRUE
