"","spot_class","first_type","second_type","first_class","second_class","min_score","singlet_score","conv_all","conv_doublet"
"spot0.0","singlet","PT","CCD",FALSE,FALSE,376.28040402497,376.269206694635,TRUE,TRUE
"spot0.1","singlet","PT","UROTHELIUM",FALSE,FALSE,454.103643021559,456.822767222865,TRUE,TRUE
"spot0.10","doublet_certain","CCD","PT",FALSE,FALSE,398.071535345808,438.667485262523,TRUE,TRUE
"spot0.11","singlet","PT","TAL",FALSE,FALSE,395.521021503359,398.658090359108,TRUE,TRUE
"spot0.12","singlet","PT","DCT",FALSE,FALSE,414.508898413872,427.316849581349,TRUE,TRUE
"spot0.13","singlet","DCT","PT",FALSE,FALSE,322.609649575676,324.167298862298,TRUE,TRUE
"spot0.14","singlet","TAL","CCD",FALSE,FALSE,365.384832749013,387.792959553514,TRUE,TRUE
"spot0.15","singlet","PT","TAL",FALSE,FALSE,373.622553551608,387.792330836986,TRUE,TRUE
"spot0.16","singlet","PT","DCT",FALSE,FALSE,378.955720465913,389.407642541353,TRUE,TRUE
"spot0.17","doublet_uncertain","PT","CCD",FALSE,FALSE,451.781050011093,493.793427444071,TRUE,TRUE
"spot0.18","singlet","DCT","PT",FALSE,FALSE,346.698211013829,349.006188000695,TRUE,TRUE
"spot0.19","singlet","DCT","VSM",FALSE,FALSE,305.254281716359,305.397919752089,TRUE,TRUE
"spot0.2","singlet","TAL","ENDO",FALSE,FALSE,317.412199390166,320.76672809538,TRUE,TRUE
"spot0.20","singlet","DCT","VSM",FALSE,FALSE,305.416978382378,307.946577608515,TRUE,TRUE
"spot0.21","singlet","DCT","PT",FALSE,FALSE,349.351525288651,352.426194616012,TRUE,TRUE
"spot0.22","singlet","DCT","TAL",FALSE,FALSE,276.114161676265,279.147245747943,TRUE,TRUE
"spot0.23","singlet","DCT","PT",FALSE,FALSE,361.897468409049,385.246184687889,TRUE,TRUE
"spot0.24","doublet_certain","DCT","PT",FALSE,FALSE,357.523034769275,386.819564540897,TRUE,TRUE
"spot0.3","singlet","TAL","CCD",FALSE,FALSE,287.458652502607,287.450812010738,TRUE,TRUE
"spot0.4","doublet_uncertain","PT","TAL",FALSE,FALSE,359.40519669365,396.633186839277,TRUE,TRUE
"spot0.5","singlet","PT","IMMUNE",FALSE,FALSE,394.943774883437,397.793162874375,TRUE,TRUE
"spot0.6","singlet","PT","IMMUNE",FALSE,FALSE,431.14353999445,439.759721197715,TRUE,TRUE
"spot0.7","singlet","PT","ENDO",FALSE,FALSE,287.276218265134,302.302778712061,TRUE,TRUE
"spot0.8","doublet_certain","ENDO","TAL",FALSE,FALSE,285.16005095765,314.229269509881,TRUE,TRUE
"spot0.9","singlet","CCD","TAL",FALSE,FALSE,334.084400503895,352.637017590317,TRUE,TRUE
"spot1.0","singlet","PT","DCT",FALSE,FALSE,412.16631502166,412.542615255776,TRUE,TRUE
"spot1.1","doublet_certain","PT","TAL",FALSE,FALSE,327.046045291439,362.050707131721,TRUE,TRUE
"spot1.10","singlet","CCD","PT",FALSE,FALSE,338.445195161585,349.771424602224,TRUE,TRUE
"spot1.11","singlet","PT","VSM",FALSE,FALSE,405.241771267671,406.144669839324,TRUE,TRUE
"spot1.12","singlet","PT","ENDO",FALSE,FALSE,425.666203185875,426.02406511685,TRUE,TRUE
"spot1.13","singlet","PT","DCT",FALSE,FALSE,414.124571125187,416.276877233072,TRUE,TRUE
"spot1.14","doublet_uncertain","ENDO","CCD",FALSE,FALSE,348.002947176323,373.148619228204,TRUE,TRUE
"spot1.15","doublet_certain","PT","CCD",FALSE,FALSE,378.315988448463,407.893696631538,TRUE,TRUE
"spot1.16","singlet","PT","VSM",FALSE,FALSE,381.103349349719,405.879632588315,TRUE,TRUE
"spot1.17","singlet","PT","VSM",FALSE,FALSE,400.458281180789,401.390426708594,TRUE,TRUE
"spot1.18","singlet","PT","TAL",FALSE,FALSE,391.899204379558,400.95373185952,TRUE,TRUE
"spot1.19","singlet","TAL","DCT",FALSE,FALSE,362.034242491123,377.385735410744,TRUE,TRUE
"spot1.2","singlet","DCT","TAL",FALSE,FALSE,324.038899527473,333.101662539994,TRUE,TRUE
"spot1.20","doublet_certain","VSM","DCT",FALSE,FALSE,371.564560289903,397.301201492006,TRUE,TRUE
"spot1.21","reject","ENDO","TAL",FALSE,FALSE,282.599429276627,332.599429276627,TRUE,TRUE
"spot1.22","singlet","ENDO","TAL",FALSE,FALSE,226.599700796166,228.740842929838,TRUE,TRUE
"spot1.23","reject","ENDO","PT",FALSE,FALSE,260.811570998602,310.811570998602,TRUE,TRUE
