"","spot_class","first_type","second_type","first_class","second_class","min_score","singlet_score","conv_all","conv_doublet"
"spot0.0","singlet","PT","VSM",FALSE,FALSE,401.979924780897,405.6251526798,TRUE,TRUE
"spot0.1","singlet","PT","TAL",FALSE,FALSE,389.279892477986,397.755294092673,TRUE,TRUE
"spot0.10","doublet_certain","VSM","UROTHELIUM",FALSE,FALSE,322.64637362062,343.345612112027,TRUE,TRUE
"spot0.11","singlet","VSM","IMMUNE",FALSE,FALSE,294.804721572788,302.642250079367,TRUE,TRUE
"spot0.12","singlet","PT","TAL",FALSE,FALSE,352.254704663212,357.276358696756,TRUE,TRUE
"spot0.13","singlet","PT","CCD",FALSE,FALSE,412.446648858147,414.806191965041,TRUE,TRUE
"spot0.14","singlet","PT","DCT",FALSE,FALSE,429.618183909976,434.489175856232,TRUE,TRUE
"spot0.15","singlet","CCD","DCT",FALSE,FALSE,381.823492179752,392.936450151972,TRUE,TRUE
"spot0.16","singlet","CCD","DCT",FALSE,FALSE,345.169753919681,349.900932214953,TRUE,TRUE
"spot0.17","singlet","DCT","CCD",FALSE,FALSE,275.249022267297,282.652862556737,TRUE,TRUE
"spot0.18","doublet_uncertain","VSM","CCD",FALSE,FALSE,325.786037314186,356.310407913605,TRUE,TRUE
"spot0.19","doublet_certain","PT","DCT",FALSE,FALSE,353.544516625512,380.796960858952,TRUE,TRUE
"spot0.2","singlet","PT","TAL",FALSE,FALSE,412.092005064675,414.167075580819,TRUE,TRUE
"spot0.20","doublet_certain","DCT","PT",FALSE,FALSE,298.031187618449,323.41397561575,TRUE,TRUE
"spot0.21","singlet","PT","TAL",FALSE,FALSE,317.931027937728,331.49278334836,TRUE,TRUE
"spot0.22","singlet","PT","TAL",FALSE,FALSE,369.471039691486,386.841164722333,TRUE,TRUE
"spot0.23","singlet","TAL","VSM",FALSE,FALSE,264.997240761595,268.166543322101,TRUE,TRUE
"spot0.24","singlet","DCT","TAL",FALSE,FALSE,278.179814636366,293.398154027337,TRUE,TRUE
"spot0.3","doublet_certain","PT","DCT",FALSE,FALSE,404.405896768095,447.77839631577,TRUE,TRUE
"spot0.4","singlet","PT","TAL",FALSE,FALSE,417.604536579139,427.743089957383,TRUE,TRUE
"spot0.5","singlet","TAL","PT",FALSE,FALSE,344.026315886028,356.133378875015,TRUE,TRUE
"spot0.6","singlet","TAL","IMMUNE",FALSE,FALSE,279.58875608781,289.84350997456,TRUE,TRUE
"spot0.7","singlet","IMMUNE","PT",FALSE,FALSE,359.656425836967,378.570483851253,TRUE,TRUE
"spot0.8","singlet","DCT","TAL",FALSE,FALSE,314.488024015927,328.573160387383,TRUE,TRUE
"spot0.9","doublet_certain","UROTHELIUM","TAL",FALSE,FALSE,369.448990697357,398.233022474117,TRUE,TRUE
"spot1.0","doublet_certain","PT","CCD",FALSE,FALSE,444.511892358502,465.233491263868,TRUE,TRUE
"spot1.1","singlet","CCD","DCT",FALSE,FALSE,367.460109312959,378.902608161826,TRUE,TRUE
"spot1.10","doublet_uncertain","DCT","VSM",FALSE,FALSE,402.686316480356,440.746170764887,TRUE,TRUE
"spot1.11","singlet","DCT","TAL",FALSE,FALSE,365.409160639722,375.802008624006,TRUE,TRUE
"spot1.12","doublet_certain","TAL","PT",FALSE,FALSE,360.332736960743,393.220992303568,TRUE,TRUE
"spot1.13","singlet","PT","DCT",FALSE,FALSE,380.445421369804,383.989376278447,TRUE,TRUE
"spot1.14","singlet","DCT","PT",FALSE,FALSE,327.860052888926,332.512566020769,TRUE,TRUE
"spot1.15","singlet","CCD","DCT",FALSE,FALSE,320.87904213012,330.891432378574,TRUE,TRUE
"spot1.16","singlet","CCD","PT",FALSE,FALSE,380.438678023515,387.775181102137,TRUE,TRUE
"spot1.17","singlet","CCD","PT",FALSE,FALSE,410.515919041494,425.323993171836,TRUE,TRUE
"spot1.18","singlet","TAL","CCD",FALSE,FALSE,285.262670617598,287.707653056101,TRUE,TRUE
