"","spot_class","first_type","second_type","first_class","second_class","min_score","singlet_score","conv_all","conv_doublet"
"spot0.0","singlet","CCD","TAL",FALSE,FALSE,298.16269034875,311.41386113028,TRUE,TRUE
"spot0.1","singlet","PT","TAL",FALSE,FALSE,367.683309988193,376.113728712549,TRUE,TRUE
"spot0.10","singlet","PT","VSM",FALSE,FALSE,400.245256310666,402.807891237163,TRUE,TRUE
"spot0.11","singlet","PT","DCT",FALSE,FALSE,398.894188837774,409.420715308495,TRUE,TRUE
"spot0.12","reject","IMMUNE","VSM",FALSE,FALSE,318.276385759641,358.276385759641,TRUE,TRUE
"spot0.13","singlet","PT","ENDO",FALSE,FALSE,374.652891387092,380.295405761541,TRUE,TRUE
"spot0.14","singlet","PT","TAL",FALSE,FALSE,357.836920101154,373.099971303301,TRUE,TRUE
"spot0.15","singlet","PT","TAL",FALSE,FALSE,361.761292977114,372.78400824178,TRUE,TRUE
"spot0.16","singlet","PT","DCT",FALSE,FALSE,326.486994553471,341.776257355986,TRUE,TRUE
"spot0.17","singlet","PT","TAL",FALSE,FALSE,416.583883257025,418.098915294355,TRUE,TRUE
"spot0.18","doublet_certain","PT","TAL",FALSE,FALSE,368.704633692442,398.813578667594,TRUE,TRUE
"spot0.19","singlet","TAL","PT",FALSE,FALSE,342.971733400221,358.476986142785,TRUE,TRUE
"spot0.2","doublet_certain","PT","PODS",FALSE,FALSE,371.656051910574,394.768949935254,TRUE,TRUE
"spot0.20","doublet_certain","CCD","TAL",FALSE,FALSE,346.249002195579,366.363777322148,TRUE,TRUE
"spot0.21","doublet_certain","PT","TAL",FALSE,FALSE,360.123502598239,384.004101585811,TRUE,TRUE
"spot0.22","singlet","PT","TAL",FALSE,FALSE,348.015236887757,352.919459062163,TRUE,TRUE
"spot0.23","singlet","PT","DCT",FALSE,FALSE,356.337025108792,371.938770190484,TRUE,TRUE
"spot0.24","singlet","PT","CCD",FALSE,FALSE,352.978721658422,353.020517898959,TRUE,TRUE
"spot0.3","doublet_certain","VSM","PT",FALSE,FALSE,391.006222303054,422.912229335228,TRUE,TRUE
"spot0.4","singlet","PT","VSM",FALSE,FALSE,349.616104186146,351.603514304068,TRUE,TRUE
"spot0.5","doublet_certain","PT","ENDO",FALSE,FALSE,368.443167025078,396.1351660653,TRUE,TRUE
"spot0.6","doublet_certain","PT","DCT",FALSE,FALSE,316.754397674588,341.430333407271,TRUE,TRUE
"spot0.7","singlet","DCT","PT",FALSE,FALSE,334.00843567033,342.350744904045,TRUE,TRUE
"spot0.8","singlet","PT","DCT",FALSE,FALSE,405.890862105305,407.290414491982,TRUE,TRUE
"spot0.9","singlet","PT","ENDO",FALSE,FALSE,375.288339876838,376.651983386763,TRUE,TRUE
